approxkl,clipfrac,explained_variance,ep_len_mean,policy_entropy,fps,true_reward,ep_reward_mean,serial_timesteps,n_updates,time_elapsed,policy_loss,total_timesteps,value_loss
0.002695926,0.021924,0.9114556089043617,24.95,5.289365,236119,-0.01166595,0.27853480249767015,18000,72,23.699968814849854,-0.0028022428,1800000,0.08116838
0.0024865726,0.018684002,0.9039362519979477,25.25,5.2795267,240321,-0.008407384,0.1041084655092891,18250,73,24.03476619720459,-0.002647976,1825000,0.077531055
0.0032778978,0.031552,0.9160443767905235,26.82,5.268754,235333,-0.00556098,0.5067870003647112,18500,74,24.360847234725952,-0.0031050106,1850000,0.075301304
0.0028732852,0.024432,0.9080377072095871,25.88,5.259576,244155,-0.009559667,0.34062276682576337,18750,75,24.67987823486328,-0.0030160486,1875000,0.085115284
0.0030285227,0.02542,0.9149271175265312,25.01,5.2497296,244808,-0.011196251,0.31168953930420684,19000,76,25.017122983932495,-0.0028036893,1900000,0.080740646
0.0029518213,0.02626,0.9030186086893082,26.73,5.244467,244013,-0.009612356,0.25519057399171285,19250,77,25.33916473388672,-0.003035221,1925000,0.083024874
0.0022651877,0.016732,0.9039958044886589,28.52,5.2423105,243069,-0.005895577,0.4467897475222708,19500,78,25.679882526397705,-0.002636771,1950000,0.076133735
0.0026966229,0.022496002,0.919816255569458,26.02,5.2394304,250859,-0.0019429422,0.45196479048785476,19750,79,26.002522468566895,-0.0027808086,1975000,0.068407424
0.0026909367,0.02276,0.9152654632925987,28.14,5.2364054,244135,-0.006464168,0.6055399996656524,20000,80,26.327171087265015,-0.003200549,2000000,0.074939005
0.0028940602,0.023604002,0.9159451276063919,25.94,5.228402,232279,-0.008043683,0.42253062489829973,20250,81,26.655837774276733,-0.0030047412,2025000,0.075804025
0.0027643677,0.023311999,0.9166914820671082,27.25,5.2162437,237685,-0.006242508,0.4140903714632623,20500,82,26.97643804550171,-0.0031832785,2050000,0.07507576
0.0024402733,0.017795999,0.9237690716981888,28.83,5.2077537,232277,-0.0070990575,0.45796550109291273,20750,83,27.29759931564331,-0.0029581506,2075000,0.066617295
0.0035196785,0.03534,0.9252444878220558,27.42,5.200465,236996,-0.0051037613,0.8115191409451108,21000,84,27.62386679649353,-0.0026283578,2100000,0.068161465
0.0036735912,0.037084,0.9196302220225334,24.06,5.191535,230059,-0.008492573,0.5052969178454078,21250,85,27.95727252960205,-0.0032416799,2125000,0.07091038
0.002763576,0.023203999,0.9216571748256683,24.12,5.1805716,248055,-0.0059376867,0.33570049977213784,21500,86,28.283906936645508,-0.0024960148,2150000,0.063841276
0.0028920579,0.024724001,0.9349983781576157,27.05,5.173338,244954,-9.637077e-05,0.5090163606132001,21750,87,28.607004404067993,-0.002746083,2175000,0.055909075
0.0031120894,0.027904,0.9289861917495728,25.11,5.1697574,229460,-0.008834199,0.5283016371899566,22000,88,28.928720951080322,-0.003158772,2200000,0.066553794
