value_loss,serial_timesteps,time_elapsed,total_timesteps,ep_len_mean,clipfrac,n_updates,fps,approxkl,true_reward,explained_variance,policy_entropy,policy_loss,ep_reward_mean
0.05547141,23750,455.76231622695923,2375000,39.18,0.13485602,95,5824,0.010166537,0.1185505,0.9793659299612045,4.867713,-0.005353055,4.228580172201618
0.054063626,24000,460.3183515071869,2400000,41.86,0.11586,96,5807,0.008691618,0.11859851,0.9779646899551153,4.851592,-0.0059978305,4.542021983824671
0.07073414,24250,464.8763506412506,2425000,44.26,0.10368,97,5696,0.0081398105,0.1186949,0.974105579778552,4.8366647,-0.0050139255,4.929455712288618
0.07472551,24500,469.5225911140442,2450000,40.62,0.166756,98,5930,0.013515088,0.11821869,0.9745131488889456,4.8202753,-0.0026608948,4.3736533685773615
0.05029382,24750,473.997047662735,2475000,41.45,0.18581201,99,5729,0.01454961,0.11750081,0.9827190227806568,4.806287,-0.0010548311,4.534172413703054
0.068990245,25000,478.61411476135254,2500000,42.81,0.196816,100,5544,0.019993909,0.118102685,0.9778013303875923,4.7926826,0.00025063107,4.635845627188683
0.09047422,25250,483.3803029060364,2525000,46.13,0.116628006,101,5944,0.009394677,0.11712443,0.9688508938997984,4.785295,-0.004991194,5.056542858481407
0.0751217,25500,487.84074544906616,2550000,46.26,0.112275995,102,5974,0.008684893,0.11737516,0.9745112024247646,4.7748833,-0.0064762384,5.1716459471732374
0.08699397,25750,492.29325771331787,2575000,50.12,0.14864,103,5995,0.011305553,0.1194827,0.9721032194793224,4.7532415,-0.004122529,5.725626339837909
0.079800725,26000,496.7182981967926,2600000,44.09,0.158268,104,5913,0.012240639,0.12101548,0.9738398287445307,4.7379956,-0.0029377663,4.881974266469479
0.09664244,26250,501.19812965393066,2625000,48.27,0.111156,105,6057,0.00871539,0.11906108,0.9681431725621223,4.7293234,-0.0054122144,5.5660447094216945
0.077768385,26500,505.57562017440796,2650000,43.49,0.13757999,106,5844,0.010687628,0.11945174,0.9756911937147379,4.716044,-0.003992021,4.902938427822664
0.097886965,26750,510.1090838909149,2675000,51.42,0.13218799,107,5997,0.010752327,0.11992015,0.9686520509421825,4.7031946,-0.0047744326,5.8382551086414605
0.07850276,27000,514.5340769290924,2700000,46.38,0.118232,108,6132,0.009263944,0.12119643,0.9756206050515175,4.6898484,-0.0062772864,5.213361392877996
0.107123755,27250,518.8672189712524,2725000,47.19,0.108224,109,6059,0.008479847,0.12365997,0.9690438508987427,4.6766853,-0.00490597,5.6405546386539935
0.08773473,27500,523.2556791305542,2750000,48.33,0.129572,110,5776,0.01030456,0.12170117,0.9744235519319773,4.663855,-0.005225,5.552494217716157
0.09192854,27750,527.8364543914795,2775000,43.33,0.11116,111,5811,0.008748766,0.124018475,0.9731792155653238,4.64882,-0.0060619386,4.888114904202521
0.099371396,28000,532.3910486698151,2800000,43.28,0.116828,112,5829,0.009180359,0.12395282,0.9711442049592733,4.6386743,-0.006180402,5.011892086789012
0.09032576,28250,536.9496130943298,2825000,44.85,0.096864,113,5977,0.007580622,0.12368563,0.973264891654253,4.6242504,-0.0065684877,5.069653189629316
0.09991432,28500,541.3992927074432,2850000,52.63,0.10188,114,6111,0.007878061,0.12405766,0.971973916515708,4.6042037,-0.006593044,6.173596710003912
0.11442573,28750,545.7395572662354,2875000,48.81,0.13888802,115,6279,0.010644304,0.122336365,0.9679246172308922,4.582978,-0.0034219057,5.66639249201864
0.09241349,29000,549.9745779037476,2900000,53.84,0.2157,116,6203,0.017205974,0.12333442,0.9738736860454082,4.5659556,0.00059126015,6.520950429756194
0.11805191,29250,554.2632520198822,2925000,44.26,0.15649202,117,5968,0.012155276,0.12378051,0.9675671644508839,4.550376,-0.0019078754,5.129027112796902
0.12504075,29500,558.7128865718842,2950000,49.98,0.109172,118,5763,0.008490143,0.124819845,0.9663337059319019,4.5395546,-0.0050922576,6.040462306328118
0.13052171,29750,563.2979602813721,2975000,51.25,0.090636,119,6000,0.0073650926,0.124441095,0.9643100909888744,4.5323715,-0.0060053384,6.093618187978864
0.113136396,30000,567.7143213748932,3000000,52.45,0.118224,120,6039,0.008949468,0.12460221,0.9694318305701017,4.52245,-0.0062379166,6.267584206126631
