n_updates,fps,policy_loss,approxkl,value_loss,policy_entropy,true_reward,total_timesteps,ep_len_mean,clipfrac,serial_timesteps,time_elapsed,ep_reward_mean,explained_variance
102,241554,-0.0027599744,0.0036669862,0.012979043,5.052228,0.020196075,2550000,29.64,0.034528,25500,33.71637845039368,1.3866474453816044,0.9866733234375715
103,242427,-0.0027284373,0.0032699462,0.013611833,5.0441823,0.021822132,2575000,29.25,0.030720001,25750,34.040947914123535,1.2616620879476976,0.9853005185723305
104,235998,-0.003096173,0.0034646683,0.01287097,5.0338984,0.019870635,2600000,27.01,0.033512,26000,34.37138772010803,1.133554635456694,0.9869876271113753
105,235119,-0.003299296,0.004231162,0.013083759,5.020957,0.021978276,2625000,30.87,0.045848,26250,34.70209312438965,1.5109790119596618,0.9859325103461742
106,241537,-0.0031478133,0.0039235963,0.014050303,5.016696,0.021583779,2650000,29.35,0.040068,26500,35.0312340259552,1.4413970833502707,0.9859496625140309
107,245179,-0.002917618,0.0032353806,0.013770555,5.011485,0.024715528,2675000,28.74,0.028136,26750,35.354963064193726,1.3434569217962418,0.984858843497932
108,223853,-0.002714246,0.0039304816,0.014724891,5.0037727,0.021635732,2700000,29.4,0.040408004,27000,35.67037510871887,1.217137853198874,0.9854021901264787
109,237248,-0.0031689685,0.004299165,0.014565629,4.994239,0.024649665,2725000,28.45,0.045996,27250,36.005470275878906,1.2636241856277775,0.9856591746211052
110,238911,-0.0031478195,0.004039027,0.014584469,4.989338,0.022050051,2750000,30.22,0.04224,27500,36.33276295661926,1.1180652558814654,0.9857001351192594
111,230516,-0.002929768,0.0033327541,0.013096856,4.9876456,0.021859668,2775000,26.19,0.03024,27750,36.66166281700134,1.2345024688661943,0.9874095264822245
112,237957,-0.0031821367,0.0035749886,0.014057307,4.9826283,0.024251282,2800000,26.14,0.034351997,28000,36.99353742599487,1.2980130805790395,0.9855973077937961
113,218740,-0.0030902768,0.0035121124,0.01207825,4.9779887,0.021272793,2825000,26.96,0.033208005,28250,37.324082374572754,1.0869712371263949,0.9876543087884784
114,221292,-0.0026645612,0.0028545328,0.012170094,4.9710474,0.026544625,2850000,29.8,0.023492,28500,37.666492223739624,1.4102947735216003,0.98660056758672
115,246155,-0.00307506,0.0039655836,0.012906144,4.962633,0.02148074,2875000,28.87,0.040804002,28750,37.996814012527466,1.1184472000348022,0.9874236658215523
116,218068,-0.0026420366,0.0029096291,0.013902207,4.9553037,0.025057565,2900000,27.23,0.027875999,29000,38.31973624229431,1.188008207443636,0.9860216109082103
117,237836,-0.0034378371,0.0036851137,0.014815232,4.9495945,0.02394951,2925000,30.09,0.03696,29250,38.656359910964966,1.562093115279731,0.9854625845327973
118,176762,-0.003346979,0.0038878205,0.012788055,4.9446464,0.025710989,2950000,29.51,0.040312,29500,38.982094049453735,1.5588359708285315,0.9873103983700275
119,213633,-0.0034730532,0.0034743012,0.013338971,4.9357405,0.025031857,2975000,26.58,0.033252,29750,39.352046251297,1.2339451005566298,0.986632889136672
120,225978,-0.0031635663,0.0040151724,0.015177101,4.925857,0.023500388,3000000,28.56,0.042039998,30000,39.697579860687256,1.4100215696079248,0.9853613656014204
121,245069,-0.0035870466,0.0039046064,0.014381669,4.9151626,0.021428393,3025000,27.24,0.040348005,30250,40.02790689468384,1.1428148300823522,0.9861840959638357
122,224625,-0.0035743308,0.0037463002,0.014124413,4.902154,0.027788054,3050000,28.62,0.037396,30500,40.34980344772339,1.3285507532092742,0.986420352011919
123,228448,-0.0032185472,0.0039649187,0.01573128,4.8947487,0.02271336,3075000,26.37,0.039512,30750,40.673622131347656,1.0976106158924812,0.9855704484507442
124,221208,-0.0032373748,0.003737213,0.012487142,4.8899727,0.024900544,3100000,26.38,0.036528,31000,40.998483419418335,1.1467141670653656,0.9880710495635867
125,229606,-0.0034078627,0.003933902,0.01380943,4.881921,0.023864426,3125000,26.69,0.038876,31250,41.32682538032532,1.4267868182791608,0.9866704558953643
126,236918,-0.0034947612,0.0030139352,0.014156913,4.874186,0.025654975,3150000,28.18,0.027371999,31500,41.66048765182495,1.1545358196810411,0.9874755498021841
127,237033,-0.0036938055,0.00444178,0.015088787,4.8678284,0.024109034,3175000,30.09,0.04964,31750,41.9818012714386,1.2389893250504975,0.9857984157279134
128,217320,-0.003446923,0.004151442,0.015242083,4.861665,0.02059113,3200000,28.97,0.04298,32000,42.30609154701233,1.5590471615321622,0.9871846912428737
129,223093,-0.0036262367,0.003306808,0.015189163,4.8525043,0.027283398,3225000,28.85,0.02964,32250,42.65022110939026,1.3928588739846601,0.9867953788489103
130,223632,-0.0035765835,0.004173737,0.016131042,4.8423605,0.023779573,3250000,31.88,0.043643996,32500,42.98163604736328,1.5232780699976138,0.986449415795505
131,234620,-0.0034219562,0.0037300482,0.016642468,4.832569,0.023780005,3275000,30.41,0.03522,32750,43.31331729888916,1.4430224592618026,0.9862772785127163
132,237260,-0.0033377786,0.004115644,0.01567227,4.8250995,0.025063211,3300000,35.65,0.041876,33000,43.635422706604004,1.8645735007546318,0.9874041397124529
133,242327,-0.0033611462,0.004546309,0.015847748,4.8172364,0.02149756,3325000,31.24,0.049056,33250,43.9525945186615,1.5363828827557517,0.9872903479263186
134,236251,-0.003822444,0.0046126805,0.01872024,4.8113875,0.02468884,3350000,30.65,0.051464,33500,44.27555298805237,1.5214284190278704,0.9847023189067841
135,224604,-0.0038912545,0.0043344735,0.019919977,4.8097105,0.025650779,3375000,32.37,0.045863997,33750,44.59859585762024,1.3776369525103656,0.9829587545245886
136,235324,-0.0033980429,0.00447597,0.021481212,4.804976,0.025434082,3400000,30.47,0.048724003,34000,44.92693853378296,1.568906187803441,0.9831521343439817
137,253922,-0.0023520575,0.0054061566,0.020793384,4.796126,0.024493115,3425000,29.88,0.06630401,34250,45.24778199195862,1.5978438559558708,0.983561472967267
138,248754,-0.0024798599,0.0050247344,0.01941144,4.7873116,0.029658293,3450000,31.94,0.058976006,34500,45.55951404571533,1.7011220204385609,0.9850842813029885
139,239828,-0.0034830892,0.0038681128,0.021613773,4.778371,0.025514496,3475000,35.02,0.037316002,34750,45.87916159629822,1.8716151634327616,0.9841008652001619
140,232746,-0.0018301284,0.006282687,0.02939586,4.7713785,0.024601983,3500000,38.47,0.080584005,35000,46.19963765144348,2.103780698626724,0.9797279424965382
141,227699,-0.0023522922,0.006354784,0.02502056,4.766903,0.027681114,3525000,31.65,0.081911996,35250,46.52246975898743,1.71205119735263,0.982502780854702
