serial_timesteps,true_reward,total_timesteps,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,approxkl,value_loss,clipfrac,n_updates,policy_loss,fps,ep_len_mean
18500,-0.3246019,1850000,70.25233745574951,5.244361,-8.48374363972107,0.8573766648769379,0.004640537,5.3647285,0.053740002,74,-0.0043354295,54897,31.92
18750,-0.30205572,1875000,71.16260576248169,5.218375,-7.613925504416838,0.8467756509780884,0.00649237,5.103139,0.07374,75,-0.0029688184,32556,32.73
19000,-0.2892569,1900000,72.5733482837677,5.1955137,-8.223868602761868,0.8553114831447601,0.007619746,4.731942,0.095011994,76,-0.0012560172,38234,35.15
19250,-0.29873833,1925000,73.61277890205383,5.17477,-8.16460037100398,0.8633690774440765,0.006788624,4.5243955,0.084408,77,-0.0039937417,49317,33.66
19500,-0.26624262,1950000,74.54844546318054,5.164654,-6.25592902171018,0.8870972618460655,0.012170553,3.8886447,0.117387995,78,0.0038161676,50178,32.7
19750,-0.2769026,1975000,75.39107084274292,5.1550827,-6.289748983928439,0.8787770941853523,0.009803165,4.087043,0.104532,79,0.00095826096,57643,33.2
20000,-0.26583427,2000000,76.22086691856384,5.1490054,-5.6218995912047465,0.8714275360107422,0.007924089,3.9269497,0.09288799,80,-0.002407076,42539,31.67
20250,-0.27897444,2025000,77.22704911231995,5.1501613,-7.498706060742479,0.8803769424557686,0.023672903,3.8958058,0.14725599,81,0.009243561,45924,34.79
20500,-0.24051836,2050000,78.2212119102478,5.1526656,-5.084588484288798,0.8720029145479202,0.09702135,3.6195064,0.26439598,82,0.041866016,47160,30.68
20750,-0.23432304,2075000,79.16803526878357,5.156081,-6.252240978737682,0.8578655868768692,0.017411385,3.828722,0.146544,83,0.010214407,59436,32.85
21000,-0.21633807,2100000,79.97692704200745,5.1515837,-4.5666929532447105,0.8557635247707367,0.012886854,3.4100127,0.11518,84,0.005454415,54653,32.31
21250,-0.23272452,2125000,80.8629686832428,5.1393485,-6.602073848607251,0.869657427072525,0.023229595,2.9411955,0.187632,85,0.0097251395,57054,35.36
21500,-0.24553181,2150000,81.70296478271484,5.129842,-7.533233081275975,0.8639799654483795,0.05912302,3.198677,0.218044,86,0.02124805,75108,35.32
21750,-0.2304766,2175000,82.44228601455688,5.1198874,-6.129528669923384,0.8785931095480919,0.02584053,2.6293516,0.18892398,87,0.013104151,62513,33.89
22000,-0.2153473,2200000,83.27558612823486,5.11133,-6.787094247268105,0.8688460737466812,0.03410495,2.8400815,0.20678,88,0.01679786,50299,35.86
22250,-0.2205727,2225000,84.21800136566162,5.119147,-5.66688323130009,0.871540293097496,0.016913295,2.9492874,0.145012,89,0.009151206,71274,34.34
22500,-0.19765566,2250000,84.9686827659607,5.107898,-5.272722588180332,0.8699076324701309,0.008919717,2.5774918,0.099636,90,0.001011044,86793,33.49
22750,-0.20998572,2275000,85.66394972801208,5.090399,-6.00145877682764,0.8827255517244339,0.0069334814,2.447492,0.078035995,91,-0.00027932768,56228,35.29
23000,-0.20404887,2300000,86.54599475860596,5.078854,-4.696487616025479,0.8676390945911407,0.0072074234,2.57012,0.08479999,92,-0.0013721605,66120,33.19
23250,-0.19037804,2325000,87.3840959072113,5.064712,-5.060251128420204,0.8838095366954803,0.011204203,2.1381085,0.12063599,93,0.0022219764,53122,34.76
