explained_variance,time_elapsed,ep_len_mean,policy_loss,approxkl,policy_entropy,ep_reward_mean,n_updates,value_loss,serial_timesteps,true_reward,total_timesteps,clipfrac,fps
0.9806290902197361,28.44194722175598,29.19,-0.0030965318,0.0040606847,5.2475176,1.073082311364792,87,0.01767237,21750,0.010933187,2175000,0.041315995,223270
0.9813806861639023,28.765159130096436,25.93,-0.0027625195,0.0037144653,5.246839,1.0550562760938191,88,0.017290764,22000,0.010091722,2200000,0.039435998,235672
0.9828307181596756,29.08442974090576,32.4,-0.0029179004,0.0033368152,5.2452455,1.0532030781320645,89,0.016408842,22250,0.0084247915,2225000,0.030559998,235284
0.9830934032797813,29.407395601272583,29.06,-0.0027834421,0.0033800523,5.242723,1.1355717643637036,90,0.015242321,22500,0.011440556,2250000,0.030372,229261
0.984318021684885,29.74288582801819,30.02,-0.002417647,0.0031219579,5.238091,0.8818471459288594,91,0.016013788,22750,0.00913231,2275000,0.026632,242517
0.9825890026986599,30.05615735054016,30.96,-0.0026054534,0.0028606523,5.2338114,1.066518791147987,92,0.01589191,23000,0.011127837,2300000,0.022011999,240198
0.9821099769324064,30.398982286453247,29.61,-0.003205007,0.003646386,5.2276163,1.1170427454815945,93,0.01534052,23250,0.013866176,2325000,0.036264002,238681
0.9823779612779617,30.72475790977478,29.42,-0.0026191666,0.0030874559,5.2210164,0.9531081435875239,94,0.01593319,23500,0.011311558,2350000,0.025,230792
0.9816414471715689,31.046679496765137,26.81,-0.0028335596,0.0035893854,5.2178454,1.0068189675121142,95,0.016279306,23750,0.012730977,2375000,0.034208,223557
0.9823092389851809,31.377407789230347,29.29,-0.0030081174,0.0039444626,5.213677,1.033285365808042,96,0.016943436,24000,0.012287184,2400000,0.039991997,231776
0.9841798767447472,31.697983741760254,29.86,-0.002656732,0.0036529354,5.2098284,0.9594346263576153,97,0.014412364,24250,0.014788021,2425000,0.033999998,237363
0.9838455282151699,32.01927423477173,32.38,-0.0027857502,0.0032125544,5.2062287,0.9700309857803404,98,0.01476519,24500,0.014208451,2450000,0.028928,226436
0.9847679315134883,32.34286379814148,30.3,-0.0030047826,0.003609653,5.199695,1.1667056923945347,99,0.0151739,24750,0.011122356,2475000,0.035848,236678
0.984067989513278,32.662216663360596,29.1,-0.0026240314,0.0032534562,5.191407,1.044362531017614,100,0.014338885,25000,0.013819539,2500000,0.028432,229416
0.9828681387007236,32.98697900772095,28.41,-0.0032541726,0.0038633957,5.177882,1.088815283044183,101,0.015499222,25250,0.011166897,2525000,0.037704002,229174
0.9843852948397398,33.30743622779846,27.92,-0.0032437835,0.004051293,5.167376,0.9630394234224514,102,0.014725864,25500,0.015665902,2550000,0.041292,232601
0.9853608999401331,33.62726163864136,29.72,-0.0027463003,0.0038965004,5.1608934,1.0763198870600172,103,0.014972225,25750,0.012570743,2575000,0.039424002,236101
0.9861193103715777,33.94131565093994,30.39,-0.0031151904,0.003807538,5.153422,1.0974794102462329,104,0.013672659,26000,0.013372723,2600000,0.03656,236132
0.9848656617105007,34.268980264663696,26.61,-0.0030716062,0.004247055,5.1462646,0.8619299235956714,105,0.01470564,26250,0.013383277,2625000,0.044744004,226200
0.984835303388536,34.59249234199524,28.61,-0.002871093,0.0035040125,5.1390405,1.1135841196220462,106,0.014816968,26500,0.012916823,2650000,0.032412,229899
0.9865587940439582,34.917545557022095,23.74,-0.0031689878,0.0037028894,5.131416,0.9849095657055478,107,0.013656872,26750,0.011715706,2675000,0.037364,234958
0.9852599697187543,35.23984384536743,26.62,-0.0029091744,0.0037806302,5.1239014,1.0268685471155186,108,0.01488026,27000,0.011548424,2700000,0.037292,228369
0.9856661939993501,35.56889843940735,27.06,-0.0025531668,0.0028119422,5.1172895,1.047495792418631,109,0.014571153,27250,0.015283593,2725000,0.022484,232737
0.9852561093866825,35.89140510559082,27.45,-0.0031125327,0.003408581,5.108184,0.9390934086732886,110,0.01435888,27500,0.012674258,2750000,0.031368,223121
0.9859427120536566,36.222397804260254,29.58,-0.0027866198,0.0030430255,5.1034966,1.1514304136174178,111,0.014146519,27750,0.013141399,2775000,0.024608,232645
0.9845754653215408,36.539225816726685,27.34,-0.0030336399,0.003610228,5.1049414,0.9859250306419562,112,0.014174094,28000,0.011942459,2800000,0.035708,229056
0.9854063400998712,36.86364507675171,27.96,-0.0027966101,0.0033021793,5.1057963,1.3598466136018397,113,0.014505398,28250,0.013767948,2825000,0.029503997,229590
0.9846740672364831,37.18737602233887,27.56,-0.0029686522,0.0033787037,5.103286,1.0654450018396893,114,0.015157801,28500,0.01416088,2850000,0.03058,230529
0.9861355619505048,37.50538229942322,26.77,-0.0035543093,0.0039380062,5.097842,1.0583313757887662,115,0.014584136,28750,0.014285134,2875000,0.039808,234372
0.9858479788526893,37.824323654174805,28.15,-0.0032071974,0.004104694,5.0927467,1.089914419554334,116,0.0135406675,29000,0.015934436,2900000,0.043700002,235704
0.9871199289336801,38.140806913375854,27.82,-0.0028669504,0.0034006773,5.089001,1.0426096993393186,117,0.013754651,29250,0.012248071,2925000,0.02998,242121
0.9857297362759709,38.45481753349304,27.11,-0.002872313,0.0038333652,5.085241,0.7464555522498267,118,0.014791298,29500,0.016619725,2950000,0.03736,240608
0.9853311339393258,38.77118539810181,26.16,-0.0035438794,0.0035493642,5.081851,1.0085700479355,119,0.015032841,29750,0.015028492,2975000,0.036456,233033
0.9855327941477299,39.09202575683594,27.42,-0.003259635,0.0035596644,5.078851,1.0431944534654212,120,0.015222186,30000,0.0138447145,3000000,0.035235997,234673
0.9834423940628767,39.41767644882202,30.39,-0.0037598335,0.0037583082,5.079269,0.9674016736424892,121,0.01628224,30250,0.017304534,3025000,0.038875997,221973
0.9830107465386391,39.74318194389343,28.36,-0.0029268626,0.0029964696,5.076714,1.2110954108547594,122,0.016858017,30500,0.01963363,3050000,0.027504,238976
0.9846043828874826,40.05656957626343,24.26,-0.0034928943,0.0042269854,5.0747056,1.0122135874532388,123,0.016414337,30750,0.016112152,3075000,0.044919997,238477
0.9828642122447491,40.37680149078369,31.22,-0.0035080877,0.003882651,5.0722785,1.1268793753436794,124,0.018444736,31000,0.011517514,3100000,0.039772,241486
0.9814365189522505,40.69532656669617,30.68,-0.0028450724,0.003381751,5.0641317,1.0429289813494689,125,0.02110847,31250,0.016395224,3125000,0.032831997,245149
0.9846385261043906,41.00832557678223,28.11,-0.0034420297,0.0035138824,5.0554595,1.0699182433277747,126,0.017110419,31500,0.01523519,3150000,0.034084,239070
0.9834725484251976,41.323673248291016,29.91,-0.0030328874,0.003941401,5.0491085,1.185338228906694,127,0.01852763,31750,0.014914662,3175000,0.040884,230425
0.9834586419165134,41.64741516113281,30.56,-0.0032610074,0.0034392043,5.0449395,1.265079970111492,128,0.01860245,32000,0.014739617,3200000,0.03162,234198
0.9804131649434566,41.96844530105591,31.28,-0.0031095159,0.004295547,5.040783,1.3531281333139622,129,0.022396447,32250,0.018670807,3225000,0.044967998,242208
0.9800381474196911,42.28940176963806,31.99,-0.0038110265,0.003590921,5.0336857,1.2974890950632108,130,0.023604155,32500,0.013809411,3250000,0.033916,240579
0.9793148022145033,42.60381078720093,31.26,-0.003777299,0.0044363956,5.025815,1.1815750214366745,131,0.024734467,32750,0.015506144,3275000,0.048368,228934
0.9786647316068411,42.91857862472534,32.04,-0.0033339038,0.0036745325,5.016809,1.2794315892033774,132,0.025214916,33000,0.014370596,3300000,0.035364002,242017
0.9807526730000973,43.232096433639526,30.44,-0.0032420245,0.0037141107,5.0110264,1.5091809521618416,133,0.023846261,33250,0.01691845,3325000,0.035396,235896
0.9777840040624142,43.55385208129883,26.61,-0.0035238154,0.003857547,5.0056677,0.9825640590825242,134,0.028484482,33500,0.017572131,3350000,0.041268,235048
0.9795988500118256,43.87503671646118,35.2,-0.003856911,0.003988889,5.000893,1.5091701261427262,135,0.026200444,33750,0.016697938,3375000,0.040268,228752
0.9779393468052149,44.197333574295044,35.78,-0.003920776,0.004813816,4.998436,1.646093203806172,136,0.030085325,34000,0.020501854,3400000,0.055604,244213
0.9774177744984627,44.51119637489319,31.85,-0.002753944,0.005080796,4.9938936,1.3072493348266472,137,0.0330782,34250,0.01689675,3425000,0.060448,236139
0.9262233078479767,44.830469846725464,40.52,-0.0035157613,0.003688998,4.9921193,1.5999657571179886,138,0.12997065,34500,0.018844107,3450000,0.032651998,235612
0.9709403328597546,45.14761400222778,31.42,-0.0034540002,0.003559015,4.9911437,1.4161240817869838,139,0.040147077,34750,0.022460394,3475000,0.037104,238562
0.9656291380524635,45.464205265045166,36.88,-0.0033033888,0.0049276515,4.9885626,1.5431999424280365,140,0.05363627,35000,0.02228513,3500000,0.057196002,240822
0.9565766081213951,45.78413152694702,39.35,-0.0041595227,0.0050270986,4.98619,1.6868365188623284,141,0.06629108,35250,0.021575144,3525000,0.058319997,230038
0.7341209948062897,46.106465101242065,50.28,-0.003184196,0.0033211198,4.983953,0.5169897136325017,142,0.88663864,35500,0.013587579,3550000,0.028663998,234954
0.9628587812185287,46.43010401725769,45.29,-0.0037157207,0.0045596855,4.983281,2.2540611638585686,143,0.06917398,35750,0.021992419,3575000,0.051544,245735
0.9125482514500618,46.74001598358154,56.09,-0.004310314,0.0040950887,4.9807854,2.8276026572603725,144,0.2067023,36000,0.022520391,3600000,0.037228,224693
0.9513584300875664,47.0614857673645,48.48,-0.003747182,0.003419329,4.9793983,2.0266369972041867,145,0.09568231,36250,0.02000095,3625000,0.031896003,228957
0.880952998995781,47.377150774002075,66.87,-0.0039317547,0.0025797982,4.9790354,1.597944790516867,146,0.40648818,36500,0.015397985,3650000,0.023351999,239352
0.9179502576589584,47.690669775009155,59.46,-0.0026019192,0.0022041951,4.979338,2.5304897058817732,147,0.22475405,36750,0.02216759,3675000,0.01706,243281
0.9287128075957298,48.002350091934204,63.31,-0.0032733032,0.0030010394,4.979766,2.7198598566490726,148,0.20128477,37000,0.022308925,3700000,0.027616,232378
0.9056431353092194,48.32219934463501,61.29,-0.004119118,0.003074902,4.980515,2.9189325026899677,149,0.29538053,37250,0.019286023,3725000,0.025316004,236508
0.903845027089119,48.634217262268066,67.49,-0.0030200852,0.0032891457,4.9801016,2.7377860120695505,150,0.29826918,37500,0.020193327,3750000,0.029619997,237973
0.9204026386141777,48.94981527328491,60.07,-0.003505227,0.0032583815,4.9794354,2.3504999600292105,151,0.27948722,37750,0.0151456045,3775000,0.032551996,231968
0.9232341647148132,49.26342177391052,79.26,-0.0038406425,0.003477638,4.9789867,3.7033586906232814,152,0.2302653,38000,0.020976426,3800000,0.033264004,223663
0.9317552000284195,49.587815046310425,87.91,-0.0032637357,0.003086422,4.977157,3.923269014354464,153,0.21941885,38250,0.024571186,3825000,0.027491998,220301
0.9420046918094158,49.90474820137024,78.62,-0.0030051216,0.0036201254,4.9730787,3.526930191135634,154,0.18138555,38500,0.02520417,3850000,0.036484,225830
0.9243500381708145,50.227105379104614,94.3,-0.0026990783,0.0027438714,4.9699373,2.7461832666516237,155,0.34929627,38750,0.020301202,3875000,0.022003999,235321
0.8744949847459793,50.53888726234436,96.23,-0.0035360535,0.003117661,4.968421,5.08880877676429,156,0.6274029,39000,0.024584264,3900000,0.028168002,220044
0.934969112277031,50.8616578578949,106.98,-0.003728813,0.00335043,4.9678087,5.810016191331015,157,0.20504625,39250,0.031377938,3925000,0.033512004,239893
0.9367101192474365,51.171284437179565,116.92,-0.0027596126,0.0028767053,4.966384,5.9714956287141465,158,0.204765,39500,0.030614113,3950000,0.025556002,243995
0.9346984475851059,51.483734130859375,129.96,-0.0032153018,0.0032120668,4.9635777,5.948287244555923,159,0.27260646,39750,0.028259126,3975000,0.032044,236843
0.9312431588768959,51.79338788986206,120.9,-0.0032842718,0.003960077,4.9610667,6.45839176221703,160,0.2217859,40000,0.032723125,4000000,0.042303998,239543
0.9408079981803894,52.1073215007782,130.25,-0.0020125243,0.0048403945,4.958346,7.408148035548165,161,0.23995402,40250,0.03629351,4025000,0.055544,221448
0.9319097772240639,52.429710388183594,137.68,-0.0029423435,0.0038662613,4.956122,7.036707951652061,162,0.22944374,40500,0.037638027,4050000,0.039812,227388
0.9377224966883659,52.74830770492554,159.51,-0.004043693,0.0040756213,4.9531493,8.92382148513978,163,0.2664035,40750,0.039669856,4075000,0.044764,231210
0.9428636729717255,53.06027054786682,161.38,-0.003449913,0.00432275,4.9481206,9.393141271031904,164,0.2528341,41000,0.039865367,4100000,0.046664,232928
0.9395704306662083,53.37261199951172,167.12,-0.0024066856,0.0037880405,4.943004,9.413128062379837,165,0.24891976,41250,0.044036694,4125000,0.041504,232207
0.9415912963449955,53.68603277206421,185.9,-0.0020130628,0.003004767,4.93996,10.602660208587713,166,0.28489444,41500,0.04414872,4150000,0.032964,241897
0.9414950273931026,53.99388647079468,185.1,-0.0025495742,0.0030975263,4.9377136,11.781446181594616,167,0.25148028,41750,0.051078603,4175000,0.03142,235407
0.9419090934097767,54.30517816543579,184.44,-0.0024626586,0.003067502,4.9346285,10.675699392567985,168,0.24907765,42000,0.048603095,4200000,0.034108,237630
0.9537663720548153,54.612581729888916,189.36,-0.0031164032,0.004460589,4.9317784,12.506660396682483,169,0.24188387,42250,0.051393162,4225000,0.050971996,238008
0.9526763558387756,54.917728662490845,199.07,-0.0017020187,0.0026478078,4.929709,13.467120706431956,170,0.21570837,42500,0.05712647,4250000,0.025192002,229785
0.9538871683180332,55.234267711639404,192.02,-0.0026694662,0.0024464258,4.9277296,13.127032377058349,171,0.26196033,42750,0.054603945,4275000,0.017043998,238517
0.9587064534425735,55.542356967926025,205.46,-0.0018101148,0.0030323989,4.9254184,14.045411109763458,172,0.2310938,43000,0.056228563,4300000,0.028736,240847
