ep_reward_mean,policy_loss,value_loss,true_reward,approxkl,explained_variance,total_timesteps,serial_timesteps,ep_len_mean,fps,policy_entropy,n_updates,time_elapsed,clipfrac
-39.84332861789031,-0.00018118769,281.77618,-1.9714427,0.0009193275,0.7010675668716431,2250000,22500,40.25,234333,5.766527,90,32.848552942276,0.00482
-33.374151565779464,-0.00029036048,301.98712,-2.016424,0.0014093115,0.7042760848999023,2275000,22750,35.03,243428,5.7664113,91,33.189889430999756,0.012192001
-36.97771783063799,-0.00068997184,280.43024,-1.9823041,0.0013416323,0.6826262772083282,2300000,23000,36.4,231419,5.7662477,92,33.527578592300415,0.009024
-30.747268042700235,-0.00040197017,297.1612,-2.0653465,0.0014850044,0.6770398616790771,2325000,23250,30.06,237889,5.766089,93,33.868199586868286,0.011144
-40.10631486992201,-0.000527552,287.4488,-2.0068057,0.0013867711,0.6831072270870209,2350000,23500,36.36,237448,5.766091,94,34.20823311805725,0.009571999
-34.087582524084134,-0.0005399082,282.78094,-2.0251555,0.0009796619,0.6868631839752197,2375000,23750,32.08,236648,5.7662354,95,34.548513889312744,0.00552
-33.40961862139491,-0.00035220158,274.93887,-1.9750522,0.0015401456,0.6766479909420013,2400000,24000,31.87,238954,5.7661457,96,34.890626192092896,0.013132
-26.616147065904514,-0.0008500804,235.21365,-1.9093547,0.0011793866,0.6879821419715881,2425000,24250,30.31,243870,5.7660193,97,35.23156476020813,0.0077240006
-37.29838733043754,-0.00062629284,247.49834,-1.9326127,0.0012243576,0.6738601922988892,2450000,24500,38.15,234835,5.7658834,98,35.56698393821716,0.0096
-32.2132860099728,-0.00064088305,241.08798,-1.9478213,0.0010790906,0.6784492135047913,2475000,24750,32.07,244141,5.7660904,99,35.91516423225403,0.008108
-36.40254903153793,-0.00058505905,244.5828,-1.9022323,0.0008954974,0.6837396621704102,2500000,25000,39.28,246165,5.766252,100,36.24848484992981,0.0068840003
-34.71612272855942,-0.00019576738,240.02437,-1.8674074,0.0008662942,0.6843496859073639,2525000,25250,38.73,247928,5.7663283,101,36.590885400772095,0.0055799996
-34.10296302953677,-0.0006830861,249.5478,-1.9230355,0.0012485739,0.647450864315033,2550000,25500,36.22,242570,5.7665296,102,36.926583766937256,0.0126720015
-29.092445370326406,-0.00070329604,201.3406,-1.8758321,0.0011660414,0.6931175589561462,2575000,25750,34.34,223655,5.7666063,103,37.26609778404236,0.008847999
-33.48495065637631,-0.00059391663,248.15088,-1.8881638,0.0012841809,0.6850626468658447,2600000,26000,37.09,240602,5.7664146,104,37.619218587875366,0.012892
-35.51194344927549,-0.0006326806,220.6052,-1.8408939,0.00097314746,0.6824620366096497,2625000,26250,37.3,244072,5.7665696,105,37.956873416900635,0.008096
-30.1724458727194,-0.0005883345,215.43745,-1.8948004,0.001152186,0.6831245720386505,2650000,26500,32.47,247111,5.766967,106,38.29699492454529,0.0074239997
-41.477571772144586,-0.00041106314,205.97409,-1.8037486,0.0009227341,0.69483682513237,2675000,26750,40.65,242571,5.7671456,107,38.631584882736206,0.0068280003
-23.858253476817335,-0.0006779657,201.0789,-1.8488691,0.0017471252,0.6963338255882263,2700000,27000,32.04,226700,5.7673473,108,38.967387437820435,0.014792001
-31.87388693358429,-0.00032937722,225.31454,-1.8830236,0.0010302482,0.6919473707675934,2725000,27250,34.93,235602,5.7675257,109,39.31771636009216,0.00678
-28.495594375363435,-0.0004671057,216.57173,-1.8742628,0.0010211788,0.6819125711917877,2750000,27500,33.34,226952,5.7674913,110,39.66286015510559,0.008284001
-43.500844773571295,-0.00071223575,184.738,-1.7452747,0.0009651524,0.7290372550487518,2775000,27750,43.38,225719,5.7673397,111,40.01952600479126,0.00674
-35.47094670415698,-0.0005574383,191.01114,-1.8145055,0.0017158147,0.7060746550559998,2800000,28000,36.11,229998,5.7673483,112,40.373515367507935,0.014852
-30.060254026490657,-0.00015046308,220.38737,-1.8436338,0.0006497582,0.6883216202259064,2825000,28250,36.56,235650,5.767309,113,40.72830605506897,0.0031799998
-37.691647965189986,-0.00065194315,210.70918,-1.8224322,0.0011100972,0.6942517161369324,2850000,28500,40.25,223994,5.76708,114,41.07991075515747,0.00738
-28.18068218575725,-0.0003541712,206.37476,-1.8352288,0.00088120095,0.6979502141475677,2875000,28750,32.0,226729,5.7669444,115,41.43281102180481,0.008192
-26.851048610204526,-0.00035377135,205.83243,-1.7803751,0.00057406514,0.6956648826599121,2900000,29000,37.61,226239,5.7668633,116,41.78400111198425,0.0027720002
-30.820772603985898,-0.00054875005,192.6136,-1.7796712,0.0008706825,0.6989763677120209,2925000,29250,36.65,225852,5.766841,117,42.13765621185303,0.00486
-36.81988194901627,-0.00065371033,201.69482,-1.7583251,0.00052141637,0.6969481706619263,2950000,29500,41.68,232631,5.7668304,118,42.4874062538147,0.0031599998
-31.989572902579894,-0.00048709149,177.3676,-1.7635187,0.00066161377,0.7241506576538086,2975000,29750,37.51,225272,5.766551,119,42.842283487319946,0.00376
-36.148515535824046,-0.0007927263,187.52428,-1.7662165,0.0008059832,0.7157415747642517,3000000,30000,39.08,223264,5.766073,120,43.19649314880371,0.005444
-40.544080223150665,-0.00044246032,217.07503,-1.8108138,0.0006865946,0.70881387591362,3025000,30250,41.92,231355,5.76591,121,43.55573797225952,0.003856
-40.52730981426605,-0.00048431428,178.74792,-1.7407589,0.0011546405,0.7285098135471344,3050000,30500,43.33,227276,5.7659974,122,43.90752601623535,0.008692
-23.765861255101445,-0.00074749894,168.56941,-1.7106258,0.00082497706,0.719308614730835,3075000,30750,35.26,239455,5.7658033,123,44.25984072685242,0.004756
-29.20880357619346,-0.00076335366,180.71545,-1.7578331,0.00084984506,0.7258229553699493,3100000,31000,34.42,241372,5.765658,124,44.60458445549011,0.005376
-34.449291306003,-0.00060266594,171.07045,-1.7148248,0.0008397483,0.717513769865036,3125000,31250,40.44,212640,5.7656794,125,44.95409631729126,0.0053120004
-33.634402404647425,-0.000615595,149.29013,-1.5915253,0.0008854961,0.7409294843673706,3150000,31500,45.74,228941,5.7658906,126,45.31048774719238,0.00506
-37.22223924424754,-0.0006671754,171.87234,-1.6861006,0.0007038081,0.7395849823951721,3175000,31750,39.26,226694,5.7659254,127,45.666276693344116,0.004472
-35.73877424188948,-0.00051687786,179.25418,-1.7474147,0.0011648725,0.724527895450592,3200000,32000,38.81,222607,5.766112,128,46.015841484069824,0.008324
-32.79258051543607,-0.00055721484,172.40828,-1.6556209,0.000513322,0.7348294854164124,3225000,32250,40.26,234624,5.766224,129,46.38426995277405,0.00294
-39.22817011784406,-0.00059969065,171.18153,-1.6814595,0.00087924756,0.7205411493778229,3250000,32500,42.2,220258,5.7663193,130,46.73261618614197,0.00554
-24.94588118613465,-0.0007113446,163.751,-1.6509652,0.0006996989,0.741567462682724,3275000,32750,36.41,230731,5.766492,131,47.09493088722229,0.004224
