x,y,z
-4.29896,-9.02904,5.00439
-4.26203,-9.04672,5.01103
-4.22356,-9.06489,5.02132
-4.1825,-9.08378,5.03541
-4.13776,-9.10353,5.05295
-4.08837,-9.12426,5.07339
-4.03342,-9.14608,5.09609
-3.97208,-9.16904,5.12035
-3.90367,-9.19317,5.14545
-3.82759,-9.21844,5.17063
-3.74335,-9.24479,5.19517
-3.65056,-9.27211,5.21839
-3.54893,-9.30022,5.23968
-3.43824,-9.32889,5.25852
-3.31837,-9.35782,5.27448
-3.18921,-9.38661,5.28725
-3.05069,-9.41481,5.29664
-2.90272,-9.44183,5.30257
-2.74513,-9.46704,5.30509
